,words,length,AROU_M,AROU_SD,AROU_N,VAL_M,VAL_SD,VAL_N,DOM_M,DOM_SD,DOM_N,CNC_M,CNC_SD,CNC_N,IMAG_M,IMAG_SD,IMAG_N,FAM_M,FAM_SD,FAM_N,AOA_M,AOA_SD,AOA_N,SIZE_M,SIZE_SD,SIZE_N,GEND_M,GEND_SD,GEND_N
0,abattoir,8,4.2,2.4,25,2.864,1.74,22,4.333,1.285,21,5.455,1.9,22,4.391,2.121,23,2.382,1.799,34,6.76,0.427,25,4.652,1.549,23,5.391,1.17,23
1,abbey,5,3.125,2.342,32,5.781,1.268,32,4.667,1.551,33,5.906,1.508,32,5.344,1.881,32,3.324,1.81,34,5.177,1.339,34,5.121,1.629,33,3.303,1.193,33
2,abbreviate,10,3.273,1.582,33,5.25,1.031,32,5.235,1.238,34,3.286,1.733,35,3.177,1.689,34,5.121,1.838,33,5.543,1.13,35,2.667,1.7,33,3.971,0.954,34
3,abdicate,8,4.194,1.941,31,3.767,1.383,30,4.419,2.182,31,3.367,1.853,30,2.516,1.521,31,3.971,2.077,35,6.233,0.844,30,4.679,1.441,28,5.167,1.186,30
4,abdication,10,3.846,2.282,26,3.88,1.608,25,4.8,1.96,25,3.292,1.62,24,2.571,1.294,28,3.097,2.022,31,6.407,0.913,27,5.083,1.351,24,4.571,1.015,28
5,abdomen,7,4.714,2.092,35,5.486,0.967,35,5.441,1.666,34,6.606,0.649,33,6.235,1.165,34,4.636,1.738,33,5.457,1.179,35,3.529,1.48,34,4.6,1.02,35
6,abdominal,9,3.875,1.9,32,5.212,1.122,33,4.667,1.511,33,5.735,1.12,34,5.03,1.527,33,4.807,1.635,31,5.706,1.446,34,3.788,1.451,33,4.242,1.129,33
7,abduct,6,4.677,2.468,31,2.177,1.424,34,3.065,2.299,31,4.441,1.718,34,4.265,1.651,34,4.364,1.936,33,5.03,1.218,33,4.438,1.368,32,5.0,1.0,30
8,abducted,8,5.344,2.922,32,1.969,0.918,32,2.871,2.549,31,4.813,1.285,32,4.212,1.871,33,5.406,1.73,32,5.29,1.3,31,5.161,1.648,31,4.546,1.499,33
9,abduction,9,5.324,2.575,34,1.618,0.805,34,2.886,2.122,35,4.912,1.805,34,4.8,1.802,35,4.441,1.802,34,5.114,1.389,35,5.059,1.533,34,4.686,1.008,35
10,aberration,10,4.852,2.505,27,3.269,1.788,26,4.852,1.799,27,3.208,1.802,24,2.84,1.994,25,2.485,1.94,33,6.414,1.067,29,4.72,1.662,25,4.32,0.786,25
11,abide,5,3.875,1.816,32,5.375,1.516,32,4.5,2.345,32,2.485,1.131,33,2.364,1.367,33,4.226,1.679,31,5.697,1.267,33,4.033,1.354,30,4.147,1.115,34
12,ability,7,5.471,1.959,34,6.912,1.095,34,6.971,1.465,34,2.941,1.305,34,2.515,1.258,33,6.0,1.015,33,4.061,1.278,33,5.029,1.2,34,4.206,1.231,34
13,able,4,4.853,2.171,34,7.114,1.469,35,6.886,1.953,35,3.182,1.766,33,3.057,1.53,35,6.206,1.158,34,3.588,1.24,34,4.4,1.642,35,3.647,0.871,34
14,abode,5,3.897,1.807,29,5.71,1.349,31,5.8,1.514,30,4.464,2.096,28,4.452,2.061,31,3.303,1.766,33,6.226,0.906,31,4.148,1.079,27,3.567,1.023,30
15,abortion,8,3.914,2.989,35,2.588,1.611,34,5.429,2.811,35,5.364,1.738,33,4.303,1.946,33,4.938,1.784,32,6.118,0.993,34,4.939,1.757,33,2.618,1.237,34
16,abroad,6,6.548,2.077,31,6.743,1.317,35,5.118,1.762,34,4.559,1.459,34,4.486,1.73,35,6.03,1.141,33,3.857,1.476,35,5.5,1.312,34,3.882,0.582,34
17,abrupt,6,4.794,2.139,34,3.636,0.731,33,4.629,1.822,35,2.829,1.298,35,2.706,1.425,34,5.235,1.373,34,5.371,1.289,35,4.4,1.314,35,4.6,0.962,35
18,absorb,6,4.484,1.584,31,5.438,1.368,32,5.125,1.166,32,3.188,1.356,32,3.576,1.724,33,5.033,0.948,30,4.688,1.044,32,3.719,1.281,32,3.793,0.713,29
19,abstract,8,4.743,2.116,35,5.294,1.34,34,4.914,1.888,35,1.714,1.578,35,2.171,1.464,35,4.771,1.79,35,5.829,1.383,35,4.324,1.548,34,3.771,0.959,35
20,absurd,6,5.452,1.965,31,3.563,1.657,32,4.719,1.546,32,2.065,0.878,31,2.375,1.556,32,4.793,1.562,29,5.281,1.231,32,4.531,1.145,32,4.1,0.746,30
21,absurdly,8,4.515,1.956,33,3.394,0.983,33,4.697,1.527,33,2.515,1.306,33,2.469,1.436,32,4.25,1.969,32,5.455,1.104,33,4.727,1.052,33,4.0,1.206,33
22,abundance,9,4.714,2.373,35,6.576,1.256,33,6.2,1.564,35,3.229,1.774,35,3.971,1.748,35,4.559,1.63,34,6.114,0.949,35,6.143,0.96,35,3.6,0.932,35
23,abundant,8,5.235,2.402,34,7.0,1.633,33,6.094,1.665,32,3.0,1.435,34,2.829,1.812,35,5.094,1.739,32,6.143,0.93,35,5.758,1.326,33,3.882,1.323,34
